OGar Server - Game Mode: Free For All - Running Time: 183sec
ID:   63, Nick: darkvengeful65 , Score:     63, Cells:  1, Status: 1 IP: BOT
ID:   64, Nick: ghostshadow27  , Score:    129, Cells:  1, Status: 1 IP: BOT
ID:   65, Nick: venomhunter15  , Score:    117, Cells:  1, Status: 1 IP: BOT
ID:   66, Nick: vengefulvengeful79, Score:    132, Cells:  1, Status: 1 IP: BOT
ID:   67, Nick: darkvengeful60 , Score:    103, Cells:  1, Status: 1 IP: BOT
ID:   68, Nick: silentvengeful50, Score:     90, Cells:  1, Status: 1 IP: BOT
ID:   69, Nick: silentvengeful46, Score:    121, Cells:  1, Status: 1 IP: BOT
ID:   70, Nick: bloodrider38   , Score:    173, Cells:  1, Status: 1 IP: BOT
ID:   71, Nick: ironstorm67    , Score:    125, Cells:  1, Status: 1 IP: BOT
ID:   72, Nick: darkvengeful11 , Score:    111, Cells:  1, Status: 1 IP: BOT
ID:   73, Nick: thunderwolf07  , Score:    133, Cells:  1, Status: 1 IP: BOT
ID:   74, Nick: shadowhunter11 , Score:     87, Cells:  1, Status: 1 IP: BOT
ID:   75, Nick: vengeancefire92, Score:    167, Cells:  1, Status: 1 IP: BOT
ID:   76, Nick: thunderstrike17, Score:     86, Cells:  1, Status: 1 IP: BOT
ID:   77, Nick: silentdagger50 , Score:    109, Cells:  1, Status: 1 IP: BOT
ID:   78, Nick: vengefulvengeful09, Score:    120, Cells:  1, Status: 1 IP: BOT
ID:   79, Nick: shadowvengeful63, Score:     84, Cells:  1, Status: 1 IP: BOT
ID:   80, Nick: darkfang21     , Score:     92, Cells:  1, Status: 1 IP: BOT
ID:   81, Nick: ghostclaw46    , Score:     71, Cells:  1, Status: 1 IP: BOT
ID:   82, Nick: ironvengeful20 , Score:    116, Cells:  1, Status: 1 IP: BOT
ID:   83, Nick: ghostvengeful15, Score:    160, Cells:  1, Status: 1 IP: BOT
ID:   84, Nick: ironvengeful02 , Score:    106, Cells:  1, Status: 1 IP: BOT
ID:   85, Nick: shadowvengeful27, Score:    128, Cells:  1, Status: 1 IP: BOT
ID:   86, Nick: steelclaw42    , Score:    109, Cells:  1, Status: 1 IP: BOT
ID:   87, Nick: darkphantom28  , Score:    104, Cells:  1, Status: 1 IP: BOT
ID:   88, Nick: vengefulstorm01, Score:     52, Cells:  1, Status: 1 IP: BOT
ID:   89, Nick: vengefulvengeful58, Score:     99, Cells:  1, Status: 1 IP: BOT
ID:   90, Nick: darkvenom12    , Score:     80, Cells:  1, Status: 1 IP: BOT
ID:   91, Nick: venomstorm20   , Score:    104, Cells:  1, Status: 1 IP: BOT
ID:   92, Nick: darkvengeful13 , Score:     67, Cells:  1, Status: 1 IP: BOT
ID:   93, Nick: shadowblade13  , Score:    114, Cells:  1, Status: 1 IP: BOT
ID:   94, Nick: crazyboy002    , Score:    119, Cells:  1, Status: 1 IP: BOT
ID:   95, Nick: steelvengeful52, Score:    119, Cells:  1, Status: 1 IP: BOT
ID:   96, Nick: silentvengeful56, Score:     75, Cells:  1, Status: 1 IP: BOT
ID:   97, Nick: shadowvengeful84, Score:     87, Cells:  1, Status: 1 IP: BOT
ID:   98, Nick: skullblade18   , Score:    101, Cells:  1, Status: 1 IP: BOT
ID:   99, Nick: shadowvengeful16, Score:    106, Cells:  1, Status: 1 IP: BOT
ID:  100, Nick: stormvengeful89, Score:    203, Cells:  1, Status: 1 IP: BOT
ID:  101, Nick: fant           , Score:     17, Cells:  1, Status: 0 IP: 127.0.0.1
ID:  102, Nick: fant           , Score:     30, Cells:  1, Status: 1 IP: 127.0.0.1
